epoch,train_loss,train_acc,test_loss,test_acc,test_acc_class_0,test_acc_class_1
0,0.6401,64.3,0.7469,58.625,63.25,54.0
1,0.6808,64.8,0.6793,56.25,32.0,80.5
2,0.7815,69.2,1.214,52.125,9.75,94.5
3,0.7141,69.4,0.7279,62.625,78.25,47.0
4,0.4551,70.8,0.6322,65.25,73.25,57.25
5,0.9726,69.5,0.6845,61.125,94.5,27.75
6,0.6069,69.6,0.6057,66.625,78.0,55.25
7,0.4946,71.5,0.6504,63.125,84.0,42.25
8,0.5527,72.9,0.8027,62.5,91.25,33.75
9,0.4234,73.9,0.6598,66.625,61.25,72.0
10,0.8075,73.5,0.5764,69.125,81.0,57.25
11,0.5683,73.3,0.558,71.5,72.25,70.75
12,0.4032,76.2,0.7364,64.125,51.25,77.0
13,0.7685,77.4,1.1389,60.125,36.75,83.5
14,0.4828,75.6,0.7221,62.875,48.5,77.25
15,0.3376,78.9,0.9538,58.625,23.75,93.5
16,0.4132,79.3,0.6882,69.25,54.0,84.5
17,0.7073,79.1,0.6734,66.875,71.75,62.0
18,0.2386,81.9,0.6116,69.625,67.0,72.25
19,0.4149,82.8,0.6724,68.625,63.25,74.0
20,0.218,82.1,0.6987,64.0,47.0,81.0
21,0.6541,82.2,0.7422,67.75,91.0,44.5
22,0.4372,85.4,0.6427,69.75,69.75,69.75
23,0.4161,82.7,0.6937,68.0,69.5,66.5
24,0.141,86.9,0.6827,70.25,69.0,71.5
25,0.2482,87.0,0.7515,69.875,58.75,81.0
26,0.3487,89.0,0.8689,68.125,50.0,86.25
27,0.0462,89.2,0.7212,68.75,68.0,69.5
28,0.085,89.0,0.947,63.5,53.0,74.0
29,0.9559,91.3,0.8952,66.875,62.75,71.0
30,0.0633,90.6,0.8421,68.75,73.0,64.5
31,0.3377,92.8,0.84,67.5,67.25,67.75
32,0.1613,90.9,1.0864,66.75,52.0,81.5
33,0.118,92.0,0.7923,68.5,77.25,59.75
34,0.2418,92.9,0.9008,69.625,59.5,79.75
35,0.5595,92.9,0.8096,71.375,72.0,70.75
36,0.1267,95.9,0.9046,71.5,78.25,64.75
37,0.0334,93.8,0.9427,69.25,67.5,71.0
38,0.1246,93.3,0.8297,70.25,73.25,67.25
39,0.7788,93.9,1.0614,66.125,77.0,55.25
